,ITEM_CTG_ID,ITEM_CTG_DESC,ITEM_GRP_ID,ITEM_GRP_DESC,GINNO,GINDATE,ENTITY,SEGMENT,COST_CENTER,C_CENTER_ID,C_CENTER_NAME,JOBNO,UNITNO,RATE,MACHINENO1,MARATE,REMARKS,CAPITAL,QUANTITY,ITEMNO,INVENTORY_ITEM_NO,INV_ITEM_DESCRIPTION,UOM_DESC,AMOUNT1,BAL1,MDESC1,LASTISSUE1,LASTISSUEDT,COSTCENTER,SUMQTY,SUMAMT,GAP,GAMOUNT,CODE1,CODE2,GQTY,PERIOD
1649,117,COMPRESSOR,1,PLANT & MACHINERY,874110,21-Sep-21,,,90309,90309,YTML-Stitching-YTM-07-UNIT 40 YTM 7 Bldg F-Ground Floor-Multi Needle-Sewing-General,,,3073559.01,,,,,1.0,7306212007,7306212007,"AIR COMPRESSOR 45KW IE4-PM MOTOR+2-VFD+4 SCREW TYPE, WITH DRYER, MAX DISCHARGE PRESSURE 8.5 BAR, MAX AIR CAPACITY M3/MIN 9.8.C-CLASS FILTER 3PPM / A-CLASS 0.01PPM / T-CLASS 0.1PPM. (SEIZE AIR) (I-F) (Fixed-Imported)",NOS,3073559.01,0.0,,,,,1.0,3073559.01,,38086160.02,,,783755340.3,
1650,117,COMPRESSOR,1,PLANT & MACHINERY,886563,10-Nov-21,,,90309,90309,YTML-Stitching-YTM-07-UNIT 40 YTM 7 Bldg F-Ground Floor-Multi Needle-Sewing-General,,,3395692.25,,,,,1.0,7306212007,7306212007,"AIR COMPRESSOR 45KW IE4-PM MOTOR+2-VFD+4 SCREW TYPE, WITH DRYER, MAX DISCHARGE PRESSURE 8.5 BAR, MAX AIR CAPACITY M3/MIN 9.8.C-CLASS FILTER 3PPM / A-CLASS 0.01PPM / T-CLASS 0.1PPM. (SEIZE AIR) (I-F) (Fixed-Imported)",NOS,3395692.25,0.0,,,,,1.0,3395692.25,,38086160.02,,,783755340.3,
2172,199,FRAME,18,MECHANICAL,874110,21-Sep-21,,,90309,90309,YTML-Stitching-YTM-07-UNIT 40 YTM 7 Bldg F-Ground Floor-Multi Needle-Sewing-General,,,3650.0,,,,,30.0,43103,43103,"PILLOW MACHINE SIDE FRAME 31""X 27"" X 13"", ROUND PIPE 1-1/2"" X 16 SWG, ROUND PIPE 2"" X 16 SWG (Fixed-Local)",NOS,109500.0,0.0,,,,,30.0,109500.0,,38086160.02,,,783755340.3,
2438,206,GENERAL,18,MECHANICAL,874110,21-Sep-21,,,90309,90309,YTML-Stitching-YTM-07-UNIT 40 YTM 7 Bldg F-Ground Floor-Multi Needle-Sewing-General,,,2850.0,,,,,100.0,7649122001,7649122001,"MACHINE OPERATOR CHAIRS, MS PIPE WITH PLASTIC SEAT (SEATING HEIGHT 23""). (---) (L-F) (Fixed-Local)",NOS,285000.0,0.0,,,,,100.0,285000.0,,38086160.02,,,783755340.3,
4107,283,MACHINE,1,PLANT & MACHINERY,874110,21-Sep-21,,,90309,90309,YTML-Stitching-YTM-07-UNIT 40 YTM 7 Bldg F-Ground Floor-Multi Needle-Sewing-General,,,187000.0,,,,,4.0,7442422001,7442422001,WIRELESS FULLY AUTOMATIC END CUTTER MACHINE MODEL#ST-205A (---) (L-F) (Fixed-Local),NOS,748000.0,0.0,,,,,4.0,748000.0,,38086160.02,,,783755340.3,
4117,283,MACHINE,1,PLANT & MACHINERY,886563,10-Nov-21,,,90309,90309,YTML-Stitching-YTM-07-UNIT 40 YTM 7 Bldg F-Ground Floor-Multi Needle-Sewing-General,,,7440458.42,,,,,6.0,7859112001,7859112001,COMPUTER SHUTTLE LOCK STITCH MULTI NEEDLE QUILTING MACHINE WITH BOBBIN WINDER WITH CUTTING MACHINE MODEL#YXS-128-3D #10 (---) (I-F) (Fixed-Imported),NOS,44642750.52,0.0,,,,,15.0,49023638.2,,38086160.02,,,783755340.3,
4118,283,MACHINE,1,PLANT & MACHINERY,886563,10-Nov-21,,,90309,90309,YTML-Stitching-YTM-07-UNIT 40 YTM 7 Bldg F-Ground Floor-Multi Needle-Sewing-General,,,486765.2978,,,,,9.0,7923912086,7923912086,"SINGLE NEEDLE LONG ARM WITH UNISON FEED SYSTEM, AUTO FOOT LIFTER AND BACKTACK (ARM SIZE 750MM ) MODEL# LIUS SEW SB-4400-75 WITH COMPLETE SET . (LIUS) (I-F) (Fixed-Imported)",SET,4380887.68,0.0,,,,,15.0,49023638.2,,38086160.02,,,783755340.3,
4136,283,MACHINE,17,ELECTRICAL,874110,21-Sep-21,,,90309,90309,YTML-Stitching-YTM-07-UNIT 40 YTM 7 Bldg F-Ground Floor-Multi Needle-Sewing-General,,,360000.0,,,,,4.0,41040,41040,"CARTON SEALING MACHINE, 151 KGS APPROX, 700-2400 (CARTON/HR), MIN.580/ MAX.780MM, 1286 X 836 X 1474 MM (Fixed-Local)",NOS,1440000.0,0.0,,,,,4.0,1440000.0,,38086160.02,,,783755340.3,
7697,340,PLUG,17,ELECTRICAL,874110,21-Sep-21,,,90309,90309,YTML-Stitching-YTM-07-UNIT 40 YTM 7 Bldg F-Ground Floor-Multi Needle-Sewing-General,,,570.0,,,,,60.0,7568222001,7568222001,INDUSTRIAL PLUG MALE/FEMALE 32 AMP 5-PIN (---) (L-F) (Fixed-Local),NOS,34200.0,0.0,,,,,60.0,34200.0,,38086160.02,,,783755340.3,
11015,461,TANK,18,MECHANICAL,874110,21-Sep-21,,,90309,90309,YTML-Stitching-YTM-07-UNIT 40 YTM 7 Bldg F-Ground Floor-Multi Needle-Sewing-General,,,276068.175,,,,,2.0,7793812002,7793812002,AIR RECEIVING TANK 2000 LITERS. (SEIZE AIR) (I-F) (Fixed-Imported),NOS,552136.35,0.0,,,,,2.0,552136.35,,38086160.02,,,783755340.3,
