,ITEM_CTG_ID,ITEM_CTG_DESC,ITEM_GRP_ID,ITEM_GRP_DESC,GINNO,GINDATE,ENTITY,SEGMENT,COST_CENTER,C_CENTER_ID,C_CENTER_NAME,JOBNO,UNITNO,RATE,MACHINENO1,MARATE,REMARKS,CAPITAL,QUANTITY,ITEMNO,INVENTORY_ITEM_NO,INV_ITEM_DESCRIPTION,UOM_DESC,AMOUNT1,BAL1,MDESC1,LASTISSUE1,LASTISSUEDT,COSTCENTER,SUMQTY,SUMAMT,GAP,GAMOUNT,CODE1,CODE2,GQTY,PERIOD
10,6,AIR CONDITIONER,22,ELECTRICAL EQUIPMENT,761552,12-Jun-20,,,90175,90175,YTML-Stitching-YTM-07-General-Cutting-General,,,97435.89,,,,,4.0,7183322005,7183322005,SPLIT AIR CONDITIONER 2 TON WITH INVERTER (GREE) (L-F) (Fixed-Local),NOS,389743.56,0.0,,,,,5.0,460598.26,,38086160.02,,,783755340.3,
11,6,AIR CONDITIONER,22,ELECTRICAL EQUIPMENT,761552,12-Jun-20,,,90175,90175,YTML-Stitching-YTM-07-General-Cutting-General,,,70854.7,,,,,1.0,39761,39761,AIR CONDITIONER 1.5 TON SPLIT GREE INVERTER TYPE (Fixed-Local),NOS,70854.7,2.0,,,,,5.0,460598.26,,38086160.02,,,783755340.3,
12,6,AIR CONDITIONER,22,ELECTRICAL EQUIPMENT,772180,04-Aug-20,,,90175,90175,YTML-Stitching-YTM-07-General-Cutting-General,,,70854.7,,,,,1.0,39761,39761,AIR CONDITIONER 1.5 TON SPLIT GREE INVERTER TYPE (Fixed-Local),NOS,70854.7,1.0,,,,,1.0,70854.7,,38086160.02,,,783755340.3,
15,6,AIR CONDITIONER,22,ELECTRICAL EQUIPMENT,801072,28-Nov-20,,,90175,90175,YTML-Stitching-YTM-07-General-Cutting-General,,,76924.0,,,,,1.0,43083,43083,AIR CONDITIONER 2 TON (GREE) (Fixed-Local),NOS,76924.0,0.0,,,,,1.0,76924.0,,38086160.02,,,783755340.3,
167,32,BELT,11,SPARE PARTS,762257,15-Jun-20,,,90175,90175,YTML-Stitching-YTM-07-General-Cutting-General,,,4.0,,,,,100.0,20886,20886,SHARPING BELT (CUTTING MACHINE) (Consumable-Local),PCS,400.0,1050.0,,,,,100.0,400.0,,38086160.02,,,783755340.3,
168,32,BELT,11,SPARE PARTS,768681,11-Jul-20,,,90175,90175,YTML-Stitching-YTM-07-General-Cutting-General,,,4.0,,,,,200.0,20886,20886,SHARPING BELT (CUTTING MACHINE) (Consumable-Local),PCS,800.0,850.0,,,,,200.0,800.0,,38086160.02,,,783755340.3,
169,32,BELT,11,SPARE PARTS,777096,19-Aug-20,,,90175,90175,YTML-Stitching-YTM-07-General-Cutting-General,,,4.0,,,,,100.0,20886,20886,SHARPING BELT (CUTTING MACHINE) (Consumable-Local),PCS,400.0,750.0,,,,,100.0,400.0,,38086160.02,,,783755340.3,
170,32,BELT,11,SPARE PARTS,779625,02-Sep-20,,,90175,90175,YTML-Stitching-YTM-07-General-Cutting-General,,,4.0,,,,,200.0,20886,20886,SHARPING BELT (CUTTING MACHINE) (Consumable-Local),PCS,800.0,550.0,,,,,200.0,800.0,,38086160.02,,,783755340.3,
171,32,BELT,11,SPARE PARTS,783366,17-Sep-20,,,90175,90175,YTML-Stitching-YTM-07-General-Cutting-General,,,4.0,,,,,100.0,20886,20886,SHARPING BELT (CUTTING MACHINE) (Consumable-Local),PCS,400.0,450.0,,,,,100.0,400.0,,38086160.02,,,783755340.3,
174,32,BELT,11,SPARE PARTS,794808,03-Nov-20,,,90175,90175,YTML-Stitching-YTM-07-General-Cutting-General,,,4.0,,,,,200.0,20886,20886,SHARPING BELT (CUTTING MACHINE) (Consumable-Local),PCS,800.0,1150.0,,,,,200.0,800.0,,38086160.02,,,783755340.3,
175,32,BELT,11,SPARE PARTS,802306,03-Dec-20,,,90175,90175,YTML-Stitching-YTM-07-General-Cutting-General,,,4.0,,,,,300.0,20886,20886,SHARPING BELT (CUTTING MACHINE) (Consumable-Local),PCS,1200.0,850.0,,,,,300.0,1200.0,,38086160.02,,,783755340.3,
248,35,BIT,16,TOOLS & INSTRUMENTS,801070,28-Nov-20,,,90175,90175,YTML-Stitching-YTM-07-General-Cutting-General,,,160.0,,,,,20.0,7380822001,7380822001,DRILL BIT 16MM CONCRETE (---) (L-F) (Fixed-Local),NOS,3200.0,0.0,,,,,20.0,3200.0,,38086160.02,,,783755340.3,
287,41,BOARD,21,GENERAL MATERIAL,798196,17-Nov-20,,,90175,90175,YTML-Stitching-YTM-07-General-Cutting-General,,,1320.0,,,,,2.0,29377,29377,SOFT BOARD 4 X 4 (Consumable-Local),NOS,2640.0,8.0,,,,,2.0,2640.0,,38086160.02,,,783755340.3,
288,41,BOARD,21,GENERAL MATERIAL,799450,27-Nov-20,,,90175,90175,YTML-Stitching-YTM-07-General-Cutting-General,,,9650.0,,,,,2.0,5724321001,5724321001,"MOVEABLE SOFTBOARD (GREEN) SIZE: 6'X8'X4"" (---) (L-C) (Consumable-Local)",NOS,19300.0,5.0,,,,,2.0,19300.0,,38086160.02,,,783755340.3,
289,41,BOARD,21,GENERAL MATERIAL,801057,28-Nov-20,,,90175,90175,YTML-Stitching-YTM-07-General-Cutting-General,,,9650.0,,,,,2.0,5724321001,5724321001,"MOVEABLE SOFTBOARD (GREEN) SIZE: 6'X8'X4"" (---) (L-C) (Consumable-Local)",NOS,19300.0,1.0,,,,,2.0,19300.0,,38086160.02,,,783755340.3,
291,41,BOARD,21,GENERAL MATERIAL,801232,28-Nov-20,,,90175,90175,YTML-Stitching-YTM-07-General-Cutting-General,,,9650.0,,,,,2.0,5724321001,5724321001,"MOVEABLE SOFTBOARD (GREEN) SIZE: 6'X8'X4"" (---) (L-C) (Consumable-Local)",NOS,19300.0,1.0,,,,,2.0,19300.0,,38086160.02,,,783755340.3,
550,45,BOLT/NUT,18,MECHANICAL,801070,28-Nov-20,,,90175,90175,YTML-Stitching-YTM-07-General-Cutting-General,,,2.65,,,,,1000.0,7380722001,7380722001,"MS NUT/BOLT 1""X6MM WITH DOUBLE WASHER (---) (L-F) (Fixed-Local)",NOS,2650.0,0.0,,,,,1400.0,13250.0,,38086160.02,,,783755340.3,
551,45,BOLT/NUT,18,MECHANICAL,801070,28-Nov-20,,,90175,90175,YTML-Stitching-YTM-07-General-Cutting-General,,,26.5,,,,,400.0,52372,52372,MS NUT BOLT 14X75 (Fixed-Local),NOS,10600.0,0.0,,,,,1400.0,13250.0,,38086160.02,,,783755340.3,
563,45,BOLT/NUT,19,"HARDWARE MATERIAL, PIPE & FITTINGS",801070,28-Nov-20,,,90175,90175,YTML-Stitching-YTM-07-General-Cutting-General,,,28.91,,,,,140.0,48656,48656,ANCHOR BOLT M12X100 MM (Fixed-Local),NOS,4047.4,0.0,,,,,140.0,4047.4,,38086160.02,,,783755340.3,
959,53,BREAKER,17,ELECTRICAL,785728,01-Oct-20,,,90175,90175,YTML-Stitching-YTM-07-General-Cutting-General,,,2680.0,,,,,10.0,2898,2898,CIRCUIT BREAKER 20 AMP 3 POLE MINIATURE (Consumable-Local),NOS,26800.0,0.0,,,,,10.0,26800.0,,38086160.02,,,783755340.3,
1035,60,BULB/LIGHT/LAMP,17,ELECTRICAL,763349,23-Jun-20,,,90175,90175,YTML-Stitching-YTM-07-General-Cutting-General,,,5500.0,,,,,28.0,6540722001,6540722001,LED PANEL LIGHT 2'X2' (---) (L-F) (Fixed-Local),NOS,154000.0,0.0,,,,,28.0,154000.0,,38086160.02,,,783755340.3,
1123,68,CABLE,17,ELECTRICAL,787909,06-Oct-20,,,90175,90175,YTML-Stitching-YTM-07-General-Cutting-General,,,83.0,,,,,300.0,2262,2262,CABLE WIRE FLEXIBLE 1.5MM X 3CORE (Consumable-Local),MTR,24900.0,0.0,,,,,600.0,59400.0,,38086160.02,,,783755340.3,
1124,68,CABLE,17,ELECTRICAL,787909,06-Oct-20,,,90175,90175,YTML-Stitching-YTM-07-General-Cutting-General,,,115.0,,,,,300.0,22224,22224,FLEXIBLE CABLE 4 CORE 1.5 MM PAKISTAN CABLE (Consumable-Local),MTR,34500.0,0.0,,,,,600.0,59400.0,,38086160.02,,,783755340.3,
1358,101,CLAMP,21,GENERAL MATERIAL,767621,07-Jul-20,,,90175,90175,YTML-Stitching-YTM-07-General-Cutting-General,,,1700.0,,,,,20.0,34295,34295,RANGE CLAMP FOR CUTTING DEPARTMENT FORMANUAL TABLE (Consumable-Local),NOS,34000.0,0.0,,,,,20.0,34000.0,,38086160.02,,,783755340.3,
1803,156,DISC,19,"HARDWARE MATERIAL, PIPE & FITTINGS",782810,14-Sep-20,,,90175,90175,YTML-Stitching-YTM-07-General-Cutting-General,,,108.0,,,,,100.0,35187,35187,"CUTTING DISK (M.S), 4""-1MM (RHODIUS) (Consumable-Local)",NOS,10800.0,0.0,,,,,100.0,10800.0,,38086160.02,,,783755340.3,
1805,156,DISC,19,"HARDWARE MATERIAL, PIPE & FITTINGS",799450,27-Nov-20,,,90175,90175,YTML-Stitching-YTM-07-General-Cutting-General,,,108.0,,,,,50.0,35187,35187,"CUTTING DISK (M.S), 4""-1MM (RHODIUS) (Consumable-Local)",NOS,5400.0,0.0,,,,,50.0,5400.0,,38086160.02,,,783755340.3,
1837,157,DISK,18,MECHANICAL,801070,28-Nov-20,,,90175,90175,YTML-Stitching-YTM-07-General-Cutting-General,,,110.0,,,,,60.0,7380922001,7380922001,"CUTTING DISK (M.S), 4""-1MM (---) (L-F) (Fixed-Local)",NOS,6600.0,0.0,,,,,60.0,6600.0,,38086160.02,,,783755340.3,
1843,159,DISPENSER,22,ELECTRICAL EQUIPMENT,761552,12-Jun-20,,,90175,90175,YTML-Stitching-YTM-07-General-Cutting-General,,,12735.04,,,,,3.0,23967,23967,"WATER DISPENSER OWD-531, HOT TANK CAPACITY 1.4LTR, COOL TANK CAPACITY 3.5LTR REFREGRENT BOX 19.5LTR ORIENT (Fixed-Local)",NOS,38205.12,1.0,,,,,3.0,38205.12,,38086160.02,,,783755340.3,
1896,174,ELECTRODE,19,"HARDWARE MATERIAL, PIPE & FITTINGS",801070,28-Nov-20,,,90175,90175,YTML-Stitching-YTM-07-General-Cutting-General,,,290.0,,,,,10.0,6753322002,6753322002,MS WELDING ROD NO-10 (ZODIAC) (L-F) (Fixed-Local),KGS,2900.0,0.0,,,,,20.0,5900.0,,38086160.02,,,783755340.3,
1897,174,ELECTRODE,19,"HARDWARE MATERIAL, PIPE & FITTINGS",801070,28-Nov-20,,,90175,90175,YTML-Stitching-YTM-07-General-Cutting-General,,,300.0,,,,,10.0,6753422002,6753422002,MS WELDING ROD NO-12 (ZODIAC) (L-F) (Fixed-Local),KGS,3000.0,0.0,,,,,20.0,5900.0,,38086160.02,,,783755340.3,
1941,189,FILE,20,STATIONARY,774027,05-Aug-20,,,90175,90175,YTML-Stitching-YTM-07-General-Cutting-General,,,72.0,,,,,5.0,16707,16707,FILE (RING FILE) (Consumable-Local),NOS,360.0,0.0,,,,,10.0,720.0,,38086160.02,,,783755340.3,
1942,189,FILE,20,STATIONARY,774027,05-Aug-20,,,90175,90175,YTML-Stitching-YTM-07-General-Cutting-General,,,72.0,,,,,5.0,5005,5005,FIBRE PAPER CLIP FILE (Consumable-Local),NOS,360.0,0.0,,,,,10.0,720.0,,38086160.02,,,783755340.3,
1943,189,FILE,20,STATIONARY,774031,05-Aug-20,,,90175,90175,YTML-Stitching-YTM-07-General-Cutting-General,,,72.0,,,,,5.0,16707,16707,FILE (RING FILE) (Consumable-Local),NOS,360.0,0.0,,,,,5.0,360.0,,38086160.02,,,783755340.3,
1951,189,FILE,20,STATIONARY,791918,22-Oct-20,,,90175,90175,YTML-Stitching-YTM-07-General-Cutting-General,,,164.702069,,,,,2.0,1602,1602,BOX FILE EXECUTIVE LARGE EAGLE (Consumable-Local),NOS,329.4041379,10.0,,,,,2.0,329.4041379,,38086160.02,,,783755340.3,
1952,189,FILE,20,STATIONARY,792125,23-Oct-20,,,90175,90175,YTML-Stitching-YTM-07-General-Cutting-General,,,72.0,,,,,10.0,5005,5005,FIBRE PAPER CLIP FILE (Consumable-Local),NOS,720.0,40.0,,,,,40.0,3042.0,,38086160.02,,,783755340.3,
1953,189,FILE,20,STATIONARY,792125,23-Oct-20,,,90175,90175,YTML-Stitching-YTM-07-General-Cutting-General,,,72.0,,,,,20.0,16707,16707,FILE (RING FILE) (Consumable-Local),NOS,1440.0,77.0,,,,,40.0,3042.0,,38086160.02,,,783755340.3,
1954,189,FILE,20,STATIONARY,792125,23-Oct-20,,,90175,90175,YTML-Stitching-YTM-07-General-Cutting-General,,,88.2,,,,,10.0,22457,22457,BOX FILE KORONA (Consumable-Local),PCS,882.0,30.0,,,,,40.0,3042.0,,38086160.02,,,783755340.3,
2125,193,FITTING,18,MECHANICAL,801070,28-Nov-20,,,90175,90175,YTML-Stitching-YTM-07-General-Cutting-General,,,53.0,,,,,800.0,7380422001,7380422001,"MS SQUARE PIPE 1""X1"" 16 SWG (WELDED) (---) (L-F) (Fixed-Local)",RFT,42400.0,0.0,,,,,800.0,42400.0,,38086160.02,,,783755340.3,
2176,202,GAS,19,"HARDWARE MATERIAL, PIPE & FITTINGS",798196,17-Nov-20,,,90175,90175,YTML-Stitching-YTM-07-General-Cutting-General,,,16000.0,,,,,4.0,21554,21554,GAS (R-22 REFRIGARANT GAS) (13.6KGS) DUPONT USA (Consumable-Local),NOS,64000.0,0.0,,,,,4.0,64000.0,,38086160.02,,,783755340.3,
2200,206,GENERAL,11,SPARE PARTS,762257,15-Jun-20,,,90175,90175,YTML-Stitching-YTM-07-General-Cutting-General,,,65.0,,,,,12.0,19256,19256,CUTTING BLADE 10'' (CUTTING MACHIN (Consumable-Local),PCS,780.0,216.0,,,,,12.0,780.0,,38086160.02,,,783755340.3,
2203,206,GENERAL,11,SPARE PARTS,766439,02-Jul-20,,,90175,90175,YTML-Stitching-YTM-07-General-Cutting-General,,,65.0,,,,,12.0,19256,19256,CUTTING BLADE 10'' (CUTTING MACHIN (Consumable-Local),PCS,780.0,204.0,,,,,12.0,780.0,,38086160.02,,,783755340.3,
2206,206,GENERAL,11,SPARE PARTS,768681,11-Jul-20,,,90175,90175,YTML-Stitching-YTM-07-General-Cutting-General,,,65.0,,,,,24.0,19256,19256,CUTTING BLADE 10'' (CUTTING MACHIN (Consumable-Local),PCS,1560.0,180.0,,,,,24.0,1560.0,,38086160.02,,,783755340.3,
2210,206,GENERAL,11,SPARE PARTS,771221,22-Jul-20,,,90175,90175,YTML-Stitching-YTM-07-General-Cutting-General,,,65.0,,,ISSUE TO NEW CUTTING FLOOR BLOCK C THIRD FLOOR,,12.0,19256,19256,CUTTING BLADE 10'' (CUTTING MACHIN (Consumable-Local),PCS,780.0,168.0,,,,,12.0,780.0,,38086160.02,,,783755340.3,
2220,206,GENERAL,11,SPARE PARTS,777091,20-Aug-20,,,90175,90175,YTML-Stitching-YTM-07-General-Cutting-General,,,65.0,,,,,12.0,19256,19256,CUTTING BLADE 10'' (CUTTING MACHIN (Consumable-Local),PCS,780.0,156.0,,,,,12.0,780.0,,38086160.02,,,783755340.3,
2223,206,GENERAL,11,SPARE PARTS,777627,21-Aug-20,,,90175,90175,YTML-Stitching-YTM-07-General-Cutting-General,,,65.0,,,,,12.0,19256,19256,CUTTING BLADE 10'' (CUTTING MACHIN (Consumable-Local),PCS,780.0,144.0,,,,,12.0,780.0,,38086160.02,,,783755340.3,
2224,206,GENERAL,11,SPARE PARTS,777889,22-Aug-20,,,90175,90175,YTML-Stitching-YTM-07-General-Cutting-General,,,230.0,,,,,8.0,18736,18736,ATTACHMENT PLUG (M-069) (KS-AU) (V) (Consumable-Local),PCS,1840.0,35.0,,,,,10.0,5440.0,,38086160.02,,,783755340.3,
2225,206,GENERAL,11,SPARE PARTS,777889,22-Aug-20,,,90175,90175,YTML-Stitching-YTM-07-General-Cutting-General,,,1800.0,,,,,2.0,20479,20479,PLATE COMPLETE (M-078) (CUTTING MA (Consumable-Local),PCS,3600.0,5.0,,,,,10.0,5440.0,,38086160.02,,,783755340.3,
2227,206,GENERAL,11,SPARE PARTS,779627,02-Sep-20,,,90175,90175,YTML-Stitching-YTM-07-General-Cutting-General,,,65.0,,,,,12.0,19256,19256,CUTTING BLADE 10'' (CUTTING MACHIN (Consumable-Local),PCS,780.0,132.0,,,,,12.0,780.0,,38086160.02,,,783755340.3,
2234,206,GENERAL,11,SPARE PARTS,783364,18-Sep-20,,,90175,90175,YTML-Stitching-YTM-07-General-Cutting-General,,,65.0,,,,,12.0,19256,19256,CUTTING BLADE 10'' (CUTTING MACHIN (Consumable-Local),PCS,780.0,120.0,,,,,12.0,780.0,,38086160.02,,,783755340.3,
2235,206,GENERAL,11,SPARE PARTS,785212,24-Sep-20,,,90175,90175,YTML-Stitching-YTM-07-General-Cutting-General,,,65.0,,,,,12.0,19256,19256,CUTTING BLADE 10'' (CUTTING MACHIN (Consumable-Local),PCS,780.0,108.0,,,,,12.0,780.0,,38086160.02,,,783755340.3,
2240,206,GENERAL,11,SPARE PARTS,787843,06-Oct-20,,,90175,90175,YTML-Stitching-YTM-07-General-Cutting-General,,,65.0,,,,,12.0,19256,19256,CUTTING BLADE 10'' (CUTTING MACHIN (Consumable-Local),PCS,780.0,96.0,,,,,12.0,780.0,,38086160.02,,,783755340.3,
2241,206,GENERAL,11,SPARE PARTS,787909,06-Oct-20,,,90175,90175,YTML-Stitching-YTM-07-General-Cutting-General,,,230.0,,,,,20.0,18736,18736,ATTACHMENT PLUG (M-069) (KS-AU) (V) (Consumable-Local),PCS,4600.0,15.0,,,,,20.0,4600.0,,38086160.02,,,783755340.3,
2245,206,GENERAL,11,SPARE PARTS,790060,20-Oct-20,,,90175,90175,YTML-Stitching-YTM-07-General-Cutting-General,,,65.0,,,,,12.0,19256,19256,CUTTING BLADE 10'' (CUTTING MACHIN (Consumable-Local),PCS,780.0,288.0,,,,,12.0,780.0,,38086160.02,,,783755340.3,
2246,206,GENERAL,11,SPARE PARTS,790068,14-Oct-20,,,90175,90175,YTML-Stitching-YTM-07-General-Cutting-General,,,65.0,,,,,12.0,19256,19256,CUTTING BLADE 10'' (CUTTING MACHIN (Consumable-Local),PCS,780.0,300.0,,,,,12.0,780.0,,38086160.02,,,783755340.3,
2258,206,GENERAL,11,SPARE PARTS,794807,03-Nov-20,,,90175,90175,YTML-Stitching-YTM-07-General-Cutting-General,,,65.0,,,,,12.0,19256,19256,CUTTING BLADE 10'' (CUTTING MACHIN (Consumable-Local),PCS,780.0,312.0,,,,,12.0,780.0,,38086160.02,,,783755340.3,
2262,206,GENERAL,11,SPARE PARTS,796750,12-Nov-20,,,90175,90175,YTML-Stitching-YTM-07-General-Cutting-General,,,65.0,,,,,12.0,19256,19256,CUTTING BLADE 10'' (CUTTING MACHIN (Consumable-Local),PCS,780.0,300.0,,,,,12.0,780.0,,38086160.02,,,783755340.3,
2270,206,GENERAL,11,SPARE PARTS,800185,25-Nov-20,,,90175,90175,YTML-Stitching-YTM-07-General-Cutting-General,,,65.0,,,,,12.0,19256,19256,CUTTING BLADE 10'' (CUTTING MACHIN (Consumable-Local),PCS,780.0,424.0,,,,,12.0,780.0,,38086160.02,,,783755340.3,
2271,206,GENERAL,11,SPARE PARTS,800200,23-Nov-20,,,90175,90175,YTML-Stitching-YTM-07-General-Cutting-General,,,65.0,,,,,12.0,19256,19256,CUTTING BLADE 10'' (CUTTING MACHIN (Consumable-Local),PCS,780.0,436.0,,,,,12.0,780.0,,38086160.02,,,783755340.3,
