,ITEM_CTG_ID,ITEM_CTG_DESC,ITEM_GRP_ID,ITEM_GRP_DESC,GINNO,GINDATE,ENTITY,SEGMENT,COST_CENTER,C_CENTER_ID,C_CENTER_NAME,JOBNO,UNITNO,RATE,MACHINENO1,MARATE,REMARKS,CAPITAL,QUANTITY,ITEMNO,INVENTORY_ITEM_NO,INV_ITEM_DESCRIPTION,UOM_DESC,AMOUNT1,BAL1,MDESC1,LASTISSUE1,LASTISSUEDT,COSTCENTER,SUMQTY,SUMAMT,GAP,GAMOUNT,CODE1,CODE2,GQTY,PERIOD
54,13,ASSEMBLY,18,MECHANICAL,780522,04-Sep-20,,,90217,90217,YTML-Stitching-YTM-07-UNIT 27 YTM 7 Bldg B-First Floor-Sewing-General,,,5697.496667,,,,,1.0,6860211004,6860211004,"THREAD TENSION ASM PART# 400-03634, ""B"" M# LZ-2290ASR (JUKI) (I-C) (Consumable-Imported)",NOS,5697.496667,2.0,,,,,1.0,5697.496667,,38086160.02,,,783755340.3,
66,23,BAR,11,SPARE PARTS,787081,02-Oct-20,,,90217,90217,YTML-Stitching-YTM-07-UNIT 27 YTM 7 Bldg B-First Floor-Sewing-General,,,100.0,,,,,2.0,20063,20063,NEEDLE BAR (110-35003) (JUKI) (Consumable-Local),PCS,200.0,36.0,,,,,2.0,200.0,,38086160.02,,,783755340.3,
81,23,BAR,11,SPARE PARTS,811656,08-Jan-21,,,90217,90217,YTML-Stitching-YTM-07-UNIT 27 YTM 7 Bldg B-First Floor-Sewing-General,,,80.0,,,,,4.0,20077,20077,NEEDLE BAR BUSH (SINGLE NEEDLE) (Consumable-Local),PCS,320.0,20.0,,,,,4.0,320.0,,38086160.02,,,783755340.3,
82,23,BAR,11,SPARE PARTS,820587,11-Feb-21,,,90217,90217,YTML-Stitching-YTM-07-UNIT 27 YTM 7 Bldg B-First Floor-Sewing-General,,,80.0,,,,,4.0,20077,20077,NEEDLE BAR BUSH (SINGLE NEEDLE) (Consumable-Local),PCS,320.0,12.0,,,,,4.0,320.0,,38086160.02,,,783755340.3,
87,23,BAR,11,SPARE PARTS,827478,10-Mar-21,,,90217,90217,YTML-Stitching-YTM-07-UNIT 27 YTM 7 Bldg B-First Floor-Sewing-General,,,100.0,,,,,2.0,20063,20063,NEEDLE BAR (110-35003) (JUKI) (Consumable-Local),PCS,200.0,38.0,,,,,2.0,200.0,,38086160.02,,,783755340.3,
100,23,BAR,11,SPARE PARTS,846279,29-May-21,,,90217,90217,YTML-Stitching-YTM-07-UNIT 27 YTM 7 Bldg B-First Floor-Sewing-General,,,100.0,,,,,2.0,20063,20063,NEEDLE BAR (110-35003) (JUKI) (Consumable-Local),PCS,200.0,9.0,,,,,2.0,200.0,,38086160.02,,,783755340.3,
108,23,BAR,11,SPARE PARTS,869147,02-Sep-21,,,90217,90217,YTML-Stitching-YTM-07-UNIT 27 YTM 7 Bldg B-First Floor-Sewing-General,,,100.0,,,,,2.0,20063,20063,NEEDLE BAR (110-35003) (JUKI) (Consumable-Local),PCS,200.0,46.0,,,,,2.0,200.0,,38086160.02,,,783755340.3,
114,23,BAR,11,SPARE PARTS,872762,16-Sep-21,,,90217,90217,YTML-Stitching-YTM-07-UNIT 27 YTM 7 Bldg B-First Floor-Sewing-General,,,100.0,,,,,2.0,20063,20063,NEEDLE BAR (110-35003) (JUKI) (Consumable-Local),PCS,200.0,31.0,,,,,2.0,200.0,,38086160.02,,,783755340.3,
118,23,BAR,11,SPARE PARTS,880543,16-Oct-21,,,90217,90217,YTML-Stitching-YTM-07-UNIT 27 YTM 7 Bldg B-First Floor-Sewing-General,,,100.0,,,,,4.0,20063,20063,NEEDLE BAR (110-35003) (JUKI) (Consumable-Local),PCS,400.0,16.0,,,,,4.0,400.0,,38086160.02,,,783755340.3,
120,23,BAR,11,SPARE PARTS,884504,02-Nov-21,,,90217,90217,YTML-Stitching-YTM-07-UNIT 27 YTM 7 Bldg B-First Floor-Sewing-General,,,100.0,,,,,4.0,20063,20063,NEEDLE BAR (110-35003) (JUKI) (Consumable-Local),PCS,400.0,9.0,,,,,4.0,400.0,,38086160.02,,,783755340.3,
