,ITEM_CTG_ID,ITEM_CTG_DESC,ITEM_GRP_ID,ITEM_GRP_DESC,GINNO,GINDATE,ENTITY,SEGMENT,COST_CENTER,C_CENTER_ID,C_CENTER_NAME,JOBNO,UNITNO,RATE,MACHINENO1,MARATE,REMARKS,CAPITAL,QUANTITY,ITEMNO,INVENTORY_ITEM_NO,INV_ITEM_DESCRIPTION,UOM_DESC,AMOUNT1,BAL1,MDESC1,LASTISSUE1,LASTISSUEDT,COSTCENTER,SUMQTY,SUMAMT,GAP,GAMOUNT,CODE1,CODE2,GQTY,PERIOD
1775,151,DEVICE,17,ELECTRICAL,761170,10-Jun-20,,,90207,90207,YTML-Stitching-YTM-07-UNIT 28 YTM 7 Bldg B-Second Floor-Packing-General,,,10100.0,,,,,1.0,6520621001,6520621001,"SS POUCH PACKING DEVICE (QUEEN) (ARTICLE FITTED) SIZE H=100MM, W=140MM, L=320MM (---) (L-C) (Consumable-Local)",NOS,10100.0,0.0,,,,,5.0,49050.0,,38086160.02,,,783755340.3,
1776,151,DEVICE,17,ELECTRICAL,761170,10-Jun-20,,,90207,90207,YTML-Stitching-YTM-07-UNIT 28 YTM 7 Bldg B-Second Floor-Packing-General,,,10100.0,,,,,1.0,6520521001,6520521001,"SS POUCH PACKING DEVICE5 (FULL) (ARTICLE FLAT) SIZE H=100MM, W=110MM, L=300MM (---) (L-C) (Consumable-Local)",NOS,10100.0,0.0,,,,,5.0,49050.0,,38086160.02,,,783755340.3,
1777,151,DEVICE,17,ELECTRICAL,761170,10-Jun-20,,,90207,90207,YTML-Stitching-YTM-07-UNIT 28 YTM 7 Bldg B-Second Floor-Packing-General,,,9650.0,,,,,1.0,6520421001,6520421001,"SS POUCH PACKING DEVICE (KING) (ARTICLE FLAT) SIZE: H=100MM, W=120MM, L=320MM (---) (L-C) (Consumable-Local)",NOS,9650.0,0.0,,,,,5.0,49050.0,,38086160.02,,,783755340.3,
1778,151,DEVICE,17,ELECTRICAL,761170,10-Jun-20,,,90207,90207,YTML-Stitching-YTM-07-UNIT 28 YTM 7 Bldg B-Second Floor-Packing-General,,,9100.0,,,,,1.0,6520821001,6520821001,"SS POUCH 5PACKING DEVICE (FULL) (ARTICLE FITTED) SIZE H=100MM, W=11.5MM, L=310MM (---) (L-C) (Consumable-Local)",NOS,9100.0,0.0,,,,,5.0,49050.0,,38086160.02,,,783755340.3,
1779,151,DEVICE,17,ELECTRICAL,761170,10-Jun-20,,,90207,90207,YTML-Stitching-YTM-07-UNIT 28 YTM 7 Bldg B-Second Floor-Packing-General,,,10100.0,,,,,1.0,6520321001,6520321001,"SS POUCH PACKING DEVICE (QUEEN) (ARTICLE FLAT) SIZE: H=100MM, W=120MM, L=330MM (---) (L-C) (Consumable-Local)",NOS,10100.0,0.0,,,,,5.0,49050.0,,38086160.02,,,783755340.3,
1985,189,FILE,20,STATIONARY,797760,13-Nov-20,,,90207,90207,YTML-Stitching-YTM-07-UNIT 28 YTM 7 Bldg B-Second Floor-Packing-General,,,72.0,,,,,4.0,16707,16707,FILE (RING FILE) (Consumable-Local),NOS,288.0,27.0,,,,,4.0,288.0,,38086160.02,,,783755340.3,
2466,206,GENERAL,21,GENERAL MATERIAL,752942,23-Apr-20,,,90207,90207,YTML-Stitching-YTM-07-UNIT 28 YTM 7 Bldg B-Second Floor-Packing-General,,,270.0,,,,,1.0,21085,21085,TAG GUN (Consumable-Local),PCS,270.0,23.0,,,,,1.0,270.0,,38086160.02,,,783755340.3,
3796,270,LED,17,ELECTRICAL,778332,04-Sep-20,,,90207,90207,YTML-Stitching-YTM-07-UNIT 28 YTM 7 Bldg B-Second Floor-Packing-General,,,34957.26,,,,,2.0,5972322003,5972322003,"CX-40U852 ECO STAR SMART LED TV 40"" (ECO STAR) (L-F) (Fixed-Local)",NOS,69914.52,0.0,,,,,2.0,69914.52,,38086160.02,,,783755340.3,
7831,349,PRINTED STATIONERY,20,STATIONARY,770604,24-Jul-20,,,90207,90207,YTML-Stitching-YTM-07-UNIT 28 YTM 7 Bldg B-Second Floor-Packing-General,,,210.0,,,,,3.0,5490021001,5490021001,METAL DETACTOR LOG SHEET PACKING SINGLE TYPE ONE COLOR JOB (---) (Consumable-Local),PAD,630.0,61.0,,,,,3.0,630.0,,38086160.02,,,783755340.3,
7874,349,PRINTED STATIONERY,20,STATIONARY,781857,10-Sep-20,,,90207,90207,YTML-Stitching-YTM-07-UNIT 28 YTM 7 Bldg B-Second Floor-Packing-General,,,210.0,,,,,2.0,5489921001,5489921001,"DAILY PACKING PLAN & PROGRESS REPORT  WHITE,PINK DUPLICATE TYPE ONE SIDE PRINTING 100 PAGES ( 50 SET) CARBONIZED (---) (Consumable-Local)",BKS,420.0,103.0,,,,,3.0,630.0,,38086160.02,,,783755340.3,
