,ITEM_CTG_ID,ITEM_CTG_DESC,ITEM_GRP_ID,ITEM_GRP_DESC,GINNO,GINDATE,ENTITY,SEGMENT,COST_CENTER,C_CENTER_ID,C_CENTER_NAME,JOBNO,UNITNO,RATE,MACHINENO1,MARATE,REMARKS,CAPITAL,QUANTITY,ITEMNO,INVENTORY_ITEM_NO,INV_ITEM_DESCRIPTION,UOM_DESC,AMOUNT1,BAL1,MDESC1,LASTISSUE1,LASTISSUEDT,COSTCENTER,SUMQTY,SUMAMT,GAP,GAMOUNT,CODE1,CODE2,GQTY,PERIOD
6,2,ADHESIVES & SOLUTIONS,19,"HARDWARE MATERIAL, PIPE & FITTINGS",884034,01-Nov-21,,,90310,90310,YTML-Stitching-YTM-07-UNIT 42 YTM 7 Bldg F-Second Floor-Sewing-General,,,85.0,,,,,4.0,7978,7978,MAGIC DEPOXY STEEL (Consumable-Local),NOS,340.0,14.0,,,,,4.0,340.0,,38086160.02,,,783755340.3,
8,2,ADHESIVES & SOLUTIONS,21,GENERAL MATERIAL,889770,22-Nov-21,,,90310,90310,YTML-Stitching-YTM-07-UNIT 42 YTM 7 Bldg F-Second Floor-Sewing-General,,,435.0,,,,,10.0,13445,13445,SOLUTION 1 KG TIN CEMENTEX (Consumable-Local),KGS,4350.0,0.0,,,,,10.0,4350.0,,38086160.02,,,783755340.3,
29,6,AIR CONDITIONER,22,ELECTRICAL EQUIPMENT,877906,06-Oct-21,,,90310,90310,YTML-Stitching-YTM-07-UNIT 42 YTM 7 Bldg F-Second Floor-Sewing-General,,,72650.0,,,,,2.0,7232422007,7232422007,AIR CONDITIONER 1.5 TON SPLIT INVERTER TYPE (HAIER) (L-F) (Fixed-Local),NOS,145300.0,8.0,,,,,2.0,145300.0,,38086160.02,,,783755340.3,
33,6,AIR CONDITIONER,22,ELECTRICAL EQUIPMENT,886210,08-Nov-21,,,90310,90310,YTML-Stitching-YTM-07-UNIT 42 YTM 7 Bldg F-Second Floor-Sewing-General,,,137863.0,,,,,1.0,45426,45426,AIR CONDITIONER 2 TON FLOOR STANDING (Fixed-Local),NOS,137863.0,0.0,,,,,2.0,238718.0,,38086160.02,,,783755340.3,
34,6,AIR CONDITIONER,22,ELECTRICAL EQUIPMENT,886210,08-Nov-21,,,90310,90310,YTML-Stitching-YTM-07-UNIT 42 YTM 7 Bldg F-Second Floor-Sewing-General,,,100855.0,,,,,1.0,25225,25225,AIR CONDITIONER 2 TON SPLIT TYPE HAIER (Fixed-Local),NOS,100855.0,0.0,,,,,2.0,238718.0,,38086160.02,,,783755340.3,
129,25,BASE,17,ELECTRICAL,882130,26-Oct-21,,,90310,90310,YTML-Stitching-YTM-07-UNIT 42 YTM 7 Bldg F-Second Floor-Sewing-General,,,910.0,,,,,18.0,17805,17805,BASE (RELAY BASE 14-PIN FINDER) (Consumable-Local),NOS,16380.0,5.0,,,,,18.0,16380.0,,38086160.02,,,783755340.3,
204,32,BELT,11,SPARE PARTS,889084,19-Nov-21,,,90310,90310,YTML-Stitching-YTM-07-UNIT 42 YTM 7 Bldg F-Second Floor-Sewing-General,,,4.2,,,,,50.0,20886,20886,SHARPING BELT (CUTTING MACHINE) (Consumable-Local),PCS,210.0,225.0,,,,,50.0,210.0,,38086160.02,,,783755340.3,
268,35,BIT,16,TOOLS & INSTRUMENTS,884034,01-Nov-21,,,90310,90310,YTML-Stitching-YTM-07-UNIT 42 YTM 7 Bldg F-Second Floor-Sewing-General,,,3818.333333,,,,,2.0,21680,21680,DRILL BIT BOX SET DORMER (Consumable-Local),SET,7636.666667,4.0,,,,,2.0,7636.666667,,38086160.02,,,783755340.3,
536,42,BOBBIN,11,SPARE PARTS,890921,27-Nov-21,,,90310,90310,YTML-Stitching-YTM-07-UNIT 42 YTM 7 Bldg F-Second Floor-Sewing-General,,,6.891935484,,,WITHOUT REPLACE,,40.0,18873,18873,BOBIN (JUKI) (Consumable-Local),PCS,275.6774194,202.0,,,,,60.0,1656.093823,,38086160.02,,,783755340.3,
537,42,BOBBIN,11,SPARE PARTS,890921,27-Nov-21,,,90310,90310,YTML-Stitching-YTM-07-UNIT 42 YTM 7 Bldg F-Second Floor-Sewing-General,,,69.02082019,,,WITHOUT REPLACE,,20.0,18878,18878,BOBIN CASE (B-1837-012-OAO)(JUKI)  (Consumable-Local),PCS,1380.416404,74.0,,,,,60.0,1656.093823,,38086160.02,,,783755340.3,
